,Seu ingresso no curso de graduação se deu por meio de políticas de ação afirmativa ou inclusão social?,"Qual a renda total de sua família, incluindo seus rendimentos?",Quem lhe deu maior incentivo para cursar a graduação?,Alguém em sua família concluiu um curso superior?,Até que etapa de escolarização sua mãe concluiu?,Até que etapa de escolarização seu pai concluiu?,qtd
66,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
58,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,2
55,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
372,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Pós-graduação,2
534,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,2
357,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino médio,Nenhuma,2
356,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino médio,Ensino Superior - Graduação,2
352,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,2
221,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
40,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Sim,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
340,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Pós-graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
338,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
541,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outras pessoas,Sim,Pós-graduação,Pós-graduação,2
23,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
20,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
548,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Ensino Superior - Graduação,Ensino Médio,2
414,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Professores,Sim,Pós-graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
83,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
415,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Colegas/Amigos,Sim,Ensino Superior - Graduação,Ensino Médio,2
429,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Ninguém,Sim,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
104,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
461,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,2
109,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Sim,Nenhuma,Nenhuma,2
111,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
95,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
118,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Não,Ensino médio,Ensino Médio,2
122,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino Superior - Graduação,Ensino Médio,2
131,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Superior - Graduação,2
267,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino Superior - Graduação,Nenhuma,2
135,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Superior - Graduação,2
475,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Professores,Sim,Ensino médio,Ensino Médio,2
137,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
138,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Nenhuma,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
140,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Pós-graduação,Ensino Médio,2
480,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Não,Ensino médio,Ensino Médio,2
504,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Sim,Ensino Superior - Graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
145,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,2
88,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Pós-graduação,Ensino Médio,2
184,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Nenhuma,Ensino Médio,2
187,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Pós-graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
193,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
194,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,2
486,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
87,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Pós-graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
198,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,2
491,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Colegas/Amigos,Sim,Nenhuma,Nenhuma,2
497,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,2
499,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
200,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
502,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Não,Nenhuma,Nenhuma,2
551,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
456,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
229,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Sim,Ensino Superior - Graduação,Ensino Médio,2
275,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,2
614,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,2
615,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
254,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,2
563,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Pós-graduação,Ensino Médio,2
566,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
239,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
227,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Nenhuma,Nenhuma,2
290,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
304,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Sim,Ensino médio,Ensino Médio,2
281,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino médio,Nenhuma,2
228,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
577,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Nenhuma,Nenhuma,2
282,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino médio,Pós-graduação,2
257,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
255,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,2
559,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Superior - Graduação,2
226,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Ensino médio,Ensino Médio,2
616,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Professores,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
553,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,2
17,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
11,Não,"Acima de 30 salários mínimos (mais de R$ 28110,00).",Pais,Sim,Ensino Superior - Graduação,Pós-graduação,2
262,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Nenhuma,Nenhuma,2
270,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,2
607,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Pós-graduação,Nenhuma,2
261,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),2
557,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),2
295,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Não,Ensino médio,Ensino Médio,2
1067,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Nenhuma,Nenhuma,1
154,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino médio,Ensino Superior - Graduação,1
164,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino Superior - Graduação,Pós-graduação,1
170,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Pós-graduação,1
175,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,1
247,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Líder ou representante religioso,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,1
1068,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Pós-graduação,Ensino Médio,1
1069,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino Superior - Graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
1070,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino Superior - Graduação,Ensino Superior - Graduação,1
993,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Líder ou representante religioso,Sim,Nenhuma,Nenhuma,1
997,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
199,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,1
246,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Líder ou representante religioso,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
992,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Líder ou representante religioso,Sim,Ensino médio,Ensino Superior - Graduação,1
197,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
183,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Nenhuma,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
1026,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
991,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Líder ou representante religioso,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
121,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
107,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
1108,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Nenhuma,Ensino Superior - Graduação,1
108,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Sim,Ensino médio,Ensino Médio,1
982,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
115,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,1
983,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,1
116,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
117,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
260,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino médio,Nenhuma,1
1100,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,1
119,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Não,Ensino médio,Nenhuma,1
124,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
141,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino Superior - Graduação,Ensino Médio,1
125,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,1
128,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
985,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Superior - Graduação,1
133,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
986,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,1
259,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino médio,Ensino Superior - Graduação,1
1090,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino Superior - Graduação,Pós-graduação,1
245,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Líder ou representante religioso,Não,Nenhuma,Nenhuma,1
1089,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino Superior - Graduação,Nenhuma,1
136,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino médio,Nenhuma,1
988,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Sim,Ensino médio,Ensino Médio,1
1066,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Nenhuma,Ensino Superior - Graduação,1
1003,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino médio,Nenhuma,1
1065,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
1048,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
1044,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,1
1016,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
1043,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
106,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outras pessoas,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Superior - Graduação,1
219,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,1
1018,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino médio,Ensino Superior - Graduação,1
1041,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Sim,Nenhuma,Nenhuma,1
1040,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Sim,Ensino médio,Ensino Médio,1
1019,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino médio,Nenhuma,1
1039,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
1038,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
222,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,1
225,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
223,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,1
1034,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Sim,Ensino Superior - Graduação,Ensino Médio,1
1022,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Pós-graduação,Ensino Médio,1
1023,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Pós-graduação,Ensino Superior - Graduação,1
1033,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Sim,Ensino Superior - Graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
1024,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Pós-graduação,Pós-graduação,1
1032,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
1031,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Não,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
1030,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Não,Ensino médio,Ensino Médio,1
224,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Colegas/Amigos,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
1029,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),1
1028,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outras pessoas,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,1
215,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Sim,Nenhuma,Ensino Superior - Graduação,1
1013,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,1
999,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,1
1049,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),1
